County,2011_count,2012_count,2013_count,2014_count,2011_weight,2012_weight,2013_weight,2014_weight,total_heat,total_heat_norm,Hour,latitude,length_of_encounter_seconds,longitude,Autumn,Spring,Summer,Winter,Elongated-Symmetric,Light-Only,Other,Rounded,Tapered,Unknown
"Dare County, North Carolina",11.0,22.0,6.0,3.0,0.0001096300639,0.0001095589699,0.0001101604189,0.0001096257917,316361.3030659825,0.5433472690267358,17.047619047619047,35.64361755714286,738.452380952381,-75.60378293571428,13.0,4.0,22.0,3.0,2.0,17.0,4.0,15.0,4.0,0.0
"Darke County, Ohio",0.0,0.0,1.0,0.0,0.0001689996415,0.0001673352909,0.0001655286087,0.0001639454437,6041.251768220776,0.010375787487134852,21.0,39.99,15.0,-84.5533333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Darlington County, South Carolina",0.0,1.0,0.0,0.0,0.0002187979329,0.0002168555757,0.0002145865464,0.0002125252459,3689.09121851092,0.006335976048089416,22.0,34.2997222,3600.0,-79.8763889,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"Dauphin County, Pennsylvania",7.0,6.0,2.0,3.0,0.0008642049734,0.0008603516179,0.0008589759451,0.0008552376309,18029.121845524238,0.03096483047319072,16.166666666666668,40.286069811111105,34045.5,-76.80882547222222,5.0,4.0,5.0,4.0,0.0,6.0,1.0,7.0,0.0,4.0
"Davidson County, North Carolina",1.0,3.0,2.0,1.0,0.0005229318099,0.0005195152971,0.0005167666072,0.0005132971492,12559.570879835186,0.021570933206969574,18.857142857142858,35.82439938571429,96.42857142857143,-80.18704441428572,1.0,3.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0
"Davidson County, Tennessee",10.0,8.0,20.0,5.0,0.002041097639,0.002069088206,0.002089215604,0.002103703674,19170.856416808118,0.03292574780172733,17.186046511627907,36.17759258837209,1176.2162790697676,-86.76095291627907,19.0,8.0,5.0,11.0,2.0,17.0,5.0,10.0,7.0,2.0
"Davie County, North Carolina",0.0,0.0,2.0,0.0,0.0001326724057,0.0001315389535,0.0001311260257,0.0001296225867,15252.502234573558,0.02619601498243687,6.0,35.9411111,420.0,-80.4094444,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
"Daviess County, Kentucky",3.0,2.0,3.0,0.0,0.0003118499642,0.0003117601611,0.0003110631488,0.0003092701485,20548.500679786863,0.03529183758807434,14.625,37.7741667,115.625,-87.1133333,2.0,3.0,3.0,0.0,1.0,4.0,0.0,2.0,0.0,1.0
"Davis County, Iowa",0.0,1.0,0.0,0.0,2.815216332e-05,2.774423265e-05,2.775055194e-05,2.750855253e-05,28834.821639949016,0.04952350821387165,22.0,40.7516667,2.0,-92.4147222,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Davis County, Utah",4.0,6.0,9.0,3.0,0.001000947262,0.0010066756,0.001019729142,0.001032714292,20349.220562644456,0.03494957604606118,14.863636363636363,41.00276013181818,852.1363636363636,-111.94635817727273,5.0,6.0,1.0,10.0,0.0,8.0,1.0,8.0,3.0,2.0
"Davison County, South Dakota",1.0,1.0,2.0,0.0,6.329502459e-05,6.357562075e-05,6.31056855e-05,6.272993015e-05,53755.72338333829,0.0923248994482795,18.5,43.7094444,137.5,-98.0294444,2.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0
"Dawson County, Georgia",0.0,0.0,1.0,0.0,7.170440412e-05,7.173606405e-05,7.193813966e-05,7.232776341e-05,13900.832086099015,0.02387453546935803,23.0,34.4211111,90.0,-84.1191667,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Dawson County, Montana",0.0,0.0,1.0,0.0,2.897063346e-05,2.941392117e-05,2.968729932e-05,2.986167106e-05,33684.438224608435,0.057852674586510736,23.0,47.1052778,60.0,-104.7119444,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"Dawson County, Nebraska",0.0,0.0,1.0,0.0,7.772577664e-05,7.640099533e-05,7.600151161e-05,7.53563432e-05,13157.633036714808,0.02259809878158161,22.0,40.9294444,1800.0,-100.1602778,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"De Soto Parish, Louisiana",1.0,0.0,0.0,0.0,8.595220403e-05,8.610685643e-05,8.572638858e-05,8.501701006e-05,6980.623787036121,0.011989149222836755,18.0,32.3330556,600.0,-93.8361111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"De Witt County, Illinois",1.0,0.0,0.0,0.0,5.311389791e-05,5.254739183e-05,5.181432169e-05,5.09486291e-05,11296.478390960556,0.019401584908972855,21.0,40.1536111,180.0,-88.9644444,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"DeKalb County, Alabama",1.0,0.0,0.0,1.0,0.0002290593017,0.0002260579811,0.0002244095266,0.0002230373081,9344.741260674089,0.01604949655517678,21.5,34.445416699999996,750.0,-85.81194445,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"DeKalb County, Georgia",2.0,2.0,1.0,2.0,0.002241417405,0.002264139051,0.00227137429,0.002277378902,2999.611839989908,0.005151802339930463,15.285714285714286,33.810252985714286,741.2857142857143,-84.27578248571429,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,0.0
"DeKalb County, Illinois",2.0,2.0,2.0,1.0,0.000335251791,0.0003325516068,0.0003297597232,0.0003284940901,19021.99681470686,0.032670082973297744,14.0,41.898333314285715,463.85714285714283,-88.73269842857144,0.0,3.0,2.0,2.0,0.0,4.0,0.0,1.0,2.0,0.0
"DeKalb County, Indiana",0.0,1.0,0.0,1.0,0.0001363924328,0.0001348751441,0.0001340817807,0.0001332952109,17184.629142764883,0.029514422982418687,21.0,41.389608100000004,1650.0,-85.00345795,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
"DeSoto County, Florida",1.0,2.0,1.0,1.0,0.0001118415381,0.0001115409284,0.0001104610577,0.0001110206977,42273.20178852911,0.07260378725909737,20.0,27.2155556,744.0,-81.8586111,1.0,2.0,0.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0
"DeSoto County, Mississippi",0.0,2.0,4.0,2.0,0.0005266293691,0.0005303045439,0.0005328270532,0.0005364733246,16116.33731459166,0.02767964280628432,10.625,34.889409725,455.625,-90.1042013875,1.0,1.0,4.0,2.0,0.0,3.0,0.0,3.0,1.0,1.0
"DeWitt County, Texas",1.0,0.0,0.0,0.0,6.485172271e-05,6.486931071e-05,6.448545978e-05,6.446099599e-05,9251.874505832999,0.01588999886333753,1.0,29.0936111,180.0,-97.2888889,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
"Dearborn County, Indiana",1.0,2.0,0.0,0.0,0.0001604394066,0.0001584515283,0.0001574050294,0.0001552555561,13837.454874544634,0.02376568576339566,20.666666666666668,39.133351866666665,300.3333333333333,-84.852021,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0
"Decatur County, Indiana",1.0,1.0,0.0,0.0,8.313730866e-05,8.298415654e-05,8.30269678e-05,8.299062628e-05,16857.370889586997,0.0289523603141739,13.0,39.3372222,315.0,-85.4836111,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
"Decatur County, Iowa",0.0,1.0,0.0,0.0,2.647670679e-05,2.625298413e-05,2.600051713e-05,2.579005342e-05,30472.72630183851,0.05233659254605434,20.0,40.5805556,600.0,-93.7436111,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Deer Lodge County, Montana",0.0,1.0,0.0,0.0,2.978589392e-05,2.936293831e-05,2.929488645e-05,2.863641575e-05,27245.229736682984,0.04679340054540478,23.0,46.1286111,300.0,-112.9413889,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
