id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
23700774,Seattle Vacation Home: Upscale & PRIME Location - Modern Kitchen | Jetted Tub,54812088,Seattle Vacation Home,Central Area,Mann,47.62091,-122.29873,Entire home/apt,200,30,131,2023-12-30,1.87,48,261,7,STR-OPLI-19-002949
23702214,"Seattle Vacation Home: The Aerodrome - Family-friendly, CLEAN & Great Location",54812088,Seattle Vacation Home,Central Area,Mann,47.62042,-122.29981,Entire home/apt,209,1,68,2024-01-07,0.97,48,267,20,STR-OPLI-20-000013
23702661,Seattle Vacation Home: Graceland - Modern 4 bed/3.5 bath great location,54812088,Seattle Vacation Home,Central Area,Mann,47.61896,-122.3001,Entire home/apt,598,30,47,2019-12-03,0.67,48,365,0,
23702901,"Seattle Vacation Home: The Autobahn - 3 bed/2 bath, great outdoor space!",54812088,Seattle Vacation Home,Central Area,Madrona,47.61728,-122.29505,Entire home/apt,147,30,106,2024-03-17,1.50,48,268,17,STR-OPLI-19-002947
23703054,"Seattle Vacation Home: The Depot - Luxury 3 bed/2.5 bath, great location",54812088,Seattle Vacation Home,Central Area,Mann,47.61972,-122.29971,Entire home/apt,209,30,87,2023-10-29,1.24,48,269,13,STR-OPLI-19-002951
23703583,Seattle Vacation Home: Life's A Mountain - 3 bedrooms each w/ ensuite bath,54812088,Seattle Vacation Home,Central Area,Mann,47.62184,-122.29776,Entire home/apt,3500,30,69,2023-10-21,0.98,48,365,4,STR-OPLI-19-003136
23704668,"Seattle Vacation Home: The Chalet - Modern 2 bed craftsman, great location",54812088,Seattle Vacation Home,Central Area,Mann,47.61822,-122.29643,Entire home/apt,193,30,105,2024-03-04,1.51,48,270,12,STR-OPLI-19-002946
23704752,"Seattle Vacation Home: Thomas Lodge ""Boston"" - Bright & Comfy, Large Balcony | Garage",54812088,Seattle Vacation Home,Central Area,Mann,47.62074,-122.29739,Entire home/apt,214,30,42,2021-11-28,0.60,48,365,0,
23704832,"Seattle Vacation Home: Thomas Lodge ""New York"" - Bright & Comfy 2 Bed/2 Bath",54812088,Seattle Vacation Home,Capitol Hill,Stevens,47.62263,-122.29867,Entire home/apt,214,30,45,2024-01-25,0.65,48,365,1,
23705000,"Seattle Vacation Home: Wall Street - Luxury 3 bed/2.5 bath, great location",54812088,Seattle Vacation Home,Capitol Hill,Stevens,47.62091,-122.30082,Entire home/apt,200,30,114,2024-01-28,1.62,48,274,16,STR-OPLI-19-002820
23705097,"Seattle Vacation Home: Off The Wall - 3 bed/2.5 bath, brand new everything",54812088,Seattle Vacation Home,Central Area,Mann,47.61876,-122.29988,Entire home/apt,206,30,120,2024-03-18,1.71,48,271,21,STR-OPLI-19-002950
23705305,"Seattle Vacation Home: Life’s a Beach - Comfort, LOCATION, 3 En Suites!",54812088,Seattle Vacation Home,Central Area,Mann,47.62192,-122.2979,Entire home/apt,417,30,35,2019-12-28,0.50,48,365,0,
23770520,Cute 2 bedroom Bungalow 3 blocks from LightRail,109742467,La Fonda,Rainier Valley,Brighton,47.53804,-122.27413,Entire home/apt,150,14,106,2024-01-12,1.47,1,347,16,STR-OPLI-23-000353
23787402,Private Room Available in Dog Lover's Paradise,42532112,Wendy,Central Area,Minor,47.61115,-122.31332,Private room,66,19,6,2024-01-29,0.13,2,90,3,STR-OPLI-19-000327
23877351,Vibrant Lake View Seattle Apartment w/ Balcony!,80780128,Justin And Chris,Cascade,Eastlake,47.63927,-122.32372,Entire home/apt,95,1,335,2024-02-21,4.60,2,0,55,STR-OPLI-19-001059
23943343,Green Lake Craftsman just across from the Lake,8186843,Alyson,Other neighborhoods,Green Lake,47.68332,-122.32968,Entire home/apt,350,4,35,2023-06-27,0.51,2,53,3,STR-OPLI-19-001980
23996840,West Seattle Urban Farm & Garden Loft,13167330,Whitney,Delridge,Roxhill,47.53054,-122.37361,Entire home/apt,85,30,36,2024-01-31,0.51,1,292,3,STR-OPLI-19-000568
