id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1014833368348897537,Home in Seattle · ★New · 1 bedroom · 1 bed · 1 private bath,544039741,Sky,Queen Anne,East Queen Anne,47.632964,-122.345494,Private room,60,5,0,,,7,255,0,STR-OPLI-23-001405
1014839926898245410,Home in Seattle · ★New · 1 bedroom · 1 bed · 1 private bath,544039741,Sky,Queen Anne,East Queen Anne,47.63193,-122.34637,Private room,60,30,0,,,7,269,0,
1014844369759925623,Home in Seattle · ★New · 1 bedroom · 1 bed · 1 private bath,544039741,Sky,Queen Anne,East Queen Anne,47.63325,-122.34452,Private room,60,30,0,,,7,269,0,
1014848211987887643,Home in Seattle · ★New · 1 bedroom · 1 bed · 1 private bath,544039741,Sky,Queen Anne,East Queen Anne,47.63395537660693,-122.34433069653555,Private room,60,30,0,,,7,269,0,
1015207515380220642,Home in Seattle · ★New · 3 bedrooms · 3 beds · 1.5 baths,104834083,Vacasa Western Washington,Ballard,Adams,47.67535068420365,-122.39737273847967,Entire home/apt,240,2,0,,,25,355,0,STR-OPLI-23-001258
1015345821011456729,Condo in Seattle · ★New · 1 bedroom · 1 bed · 1 bath,101411409,Kristine,Capitol Hill,Broadway,47.61967484396283,-122.31730834603273,Entire home/apt,64,30,0,,,1,73,0,
1015449542087614648,Home in Seattle · ★New · 4 bedrooms · 4 beds · 3.5 baths,32633013,Kateryna,Other neighborhoods,Wallingford,47.66249279928478,-122.32318382710218,Entire home/apt,700,1,0,,,1,259,0,STR-OPLI-23-001383
1015494451014050695,Home in Seattle · ★New · 2 bedrooms · 3 beds · 1 bath,7550262,Ben,Queen Anne,West Queen Anne,47.63832,-122.36362,Entire home/apt,199,1,1,2023-12-07,1,1,167,1,STR-OPLI-23-001466
1015540426169743149,Home in Seattle · ★5.0 · 2 bedrooms · 2 beds · 1 bath,15028469,Eva,Other neighborhoods,Wallingford,47.66280046522453,-122.3446569915163,Entire home/apt,111,1,3,2023-12-11,3,1,81,3,STR-OPLI-23-001371
1015982537907365383,Home in Seattle · ★New · 5 bedrooms · 6 beds · 3 baths,95179238,Yvonne,Other neighborhoods,Georgetown,47.54242291859492,-122.31835299524333,Entire home/apt,359,1,0,,,3,322,0,Exempt
1024209403994209788,Rental unit in Seattle · ★New · 1 bedroom · 1 bed · 2 baths,529119042,Julia,Central Area,Mann,47.60401035101223,-122.29861382175352,Private room,34,1,0,,,12,53,0,STR-OPLI-19-001073
1016001696775451898,Home in Seattle · ★New · 2 bedrooms · 3 beds · 1 bath,436672049,Laura,University District,University District,47.66271680044565,-122.31893016526259,Entire home/apt,140,2,2,2023-12-06,2,14,340,2,STR-OPLI-23-001372
1016102760719961694,Home in Seattle · ★5.0 · 4 bedrooms · 4 beds · 2 baths,25110157,Eva And Sid,Central Area,Minor,47.61077539999999,-122.3144446,Entire home/apt,331,2,3,2023-12-04,2.20,26,233,3,STR-OPLI-23-001436
1016136923649121322,Home in Seattle · ★New · 6 bedrooms · 4 beds · 3 baths,138243869,RExpertZ.Com,Rainier Valley,Rainier Beach,47.5129223,-122.2562163,Entire home/apt,245,1,0,,,1,85,0,STR-OPLI-23-001339
1016170248922465218,Home in Seattle · ★New · 3 bedrooms · 4 beds · 2 baths,249112104,Brad,West Seattle,North Admiral,47.57921630000001,-122.3932969,Entire home/apt,125,1,1,2023-12-03,1,1,239,1,STR-OPLI-23-001421
1016221317837066976,Rental unit in Seattle · ★New · 1 bedroom · 1 bed · 1 bath,481328155,Stratt,Downtown,Belltown,47.617287897594814,-122.3542943091096,Entire home/apt,100,1,1,2023-11-18,0.88,1,262,1,STR-OPLI-22-001696
1016227577050532588,Home in Seattle · ★New · 3 bedrooms · 4 beds · 2.5 baths,1543665,Kaela,Other neighborhoods,Fremont,47.65926,-122.3448,Entire home/apt,250,1,1,2023-11-26,1,4,83,1,STR-OPLI-23-001427
1016240097253048609,Home in Seattle · ★New · 4 bedrooms · 4 beds · 2 baths,436672049,Laura,Other neighborhoods,Fremont,47.66277,-122.3518,Entire home/apt,287,2,0,,,14,31,0,STR-OPLI-23-001160
1016637320265870323,Guesthouse in Seattle · ★5.0 · 1 bedroom · 1 bed · 1 bath,32290113,Nichelle,West Seattle,North Admiral,47.58015,-122.39872,Entire home/apt,75,2,4,2023-12-18,4,1,154,4,STR-OPLI-23-001470
1016651266120384353,Home in Seattle · ★New · 4 bedrooms · 4 beds · 2 baths,544737759,Anthony,Central Area,Mann,47.60318,-122.2975,Entire home/apt,400,4,0,,,2,258,0,str-opli-23-001202
1016963554443821740,Rental unit in Seattle · ★New · 1 bedroom · 1 bed · 1 bath,454023891,Jesse,West Seattle,North Admiral,47.57274,-122.37194,Entire home/apt,214,1,0,,,5,15,0,STR-OPLI-23-000882
1016976765997911205,Rental unit in Seattle · ★New · 4 bedrooms · 4 beds · 3 baths,454023891,Jesse,West Seattle,North Admiral,47.5739484195448,-122.37135645739811,Entire home/apt,403,1,0,,,5,14,0,STR-OPLI-23-000882
