id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
30500795,Guest suite in Seattle · ★4.92 · 1 bedroom · 1 bed · 1 shared bath,56004960,Andrew,Other neighborhoods,Wallingford,47.66599,-122.33427,Private room,66,30,49,2023-08-20,0.85,10,173,4,
30535269,Home in Seattle · ★4.87 · 3 bedrooms · 3 beds · 2.5 baths,228721932,Rickie,Central Area,Mann,47.61375,-122.29784,Entire home/apt,200,30,46,2023-08-12,0.83,1,365,1,STR-OPLI-19-002954
30578185,Guest suite in Seattle · ★4.95 · 2 bedrooms · 2 beds · 1 bath,11383663,David,Queen Anne,West Queen Anne,47.63307,-122.36154,Entire home/apt,140,5,186,2023-09-12,3.22,2,333,63,STR-OPLI-19-002086
30772471,Home in Seattle · ★4.93 · 3 bedrooms · 6 beds · 3.5 baths,230248235,Allyson,Beacon Hill,Mid-Beacon Hill,47.54865,-122.29291,Entire home/apt,232,2,56,2023-08-27,0.97,1,358,12,STR-OPLI-19-002873
30775742,Rental unit in Seattle · ★4.94 · Studio · 2 beds · 1 bath,230270645,Martha,Other neighborhoods,Green Lake,47.67203,-122.33522,Entire home/apt,119,2,169,2023-09-07,2.97,1,42,41,STR-OPLI-19-002678
30808504,Condo in Seattle · ★4.92 · 1 bedroom · 1 bed · 1 bath,9885864,Sky,Downtown,Central Business District,47.60972,-122.33799,Entire home/apt,187,30,12,2023-06-22,0.21,1,227,3,
30815319,Guest suite in Seattle · ★5.0 · 1 bedroom · 2 beds · 1 bath,133282491,Renate,West Seattle,Seaview,47.55612,-122.397,Entire home/apt,112,1,240,2023-09-14,4.15,1,206,50,STR-OPLI-19-000191
30859809,Townhouse in Seattle · ★4.73 · Studio · 1 bed · 1 private bath,230715390,Sean,Ballard,Loyal Heights,47.67738,-122.37685,Private room,80,30,30,2022-07-10,0.55,1,142,0,STR-OPLI-19-001393
30894545,Townhouse in Seattle · ★4.13 · 1 bedroom · 1 bed · 1 bath,17342935,David,Central Area,Mann,47.60883,-122.29911,Entire home/apt,200,30,8,2022-08-31,0.15,3,345,0,
30960947,Rental unit in Seattle · ★4.99 · 1 bedroom · 1 bed · 1 bath,231340748,Alice,Other neighborhoods,Wallingford,47.652302,-122.329552,Entire home/apt,156,1,280,2023-08-30,4.88,2,289,76,STR-OPLI-19-001117
30979989,Home in Seattle · ★4.89 · 5 bedrooms · 9 beds · 3 baths,22816006,Seth,Queen Anne,West Queen Anne,47.62914,-122.36751,Entire home/apt,795,4,9,2023-06-26,0.16,5,0,4,STR-OPLI-19-001604
31040215,Rental unit in Seattle · ★4.99 · 1 bedroom · 1 bed · 1 bath,231340748,Alice,Other neighborhoods,Wallingford,47.653130629400245,-122.32920956157007,Entire home/apt,97,1,380,2023-09-15,6.83,2,311,77,STR-OPLI-19-001117
31116686,Home in Seattle · ★4.77 · 2 bedrooms · 4 beds · 1 bath,145720154,Chima,Rainier Valley,Mount Baker,47.56877,-122.28518,Entire home/apt,153,1,71,2023-08-28,1.82,15,78,14,STR-OPLI-19-003006
31129657,Tiny home in Seattle · ★4.91 · 1 bed · 1 bath,777748,Michal,Beacon Hill,North Beacon Hill,47.57212,-122.3068,Entire home/apt,97,1,242,2023-09-05,4.21,1,62,49,STR-OPLI-19-000346
31138126,Rental unit in Seattle · ★4.63 · 1 bedroom · 2 beds · 1 bath,42942539,Kira,Capitol Hill,Broadway,47.62023,-122.32848,Entire home/apt,130,2,168,2023-09-01,2.95,2,140,48,STR-OPLI-19-003468
31145360,Guesthouse in Seattle · ★4.98 · 1 bedroom · 1 bed · 1 bath,4746434,Stacy,University District,University District,47.67239,-122.31949,Entire home/apt,136,3,178,2023-09-04,3.10,1,24,40,STR-OPLI-19-000452
31202562,Townhouse in Seattle · ★4.84 · 1 bedroom · 1 bed · 1 private bath,127069597,Richard,Rainier Valley,Dunlap,47.52472,-122.27572,Private room,45,30,63,2023-08-13,1.11,2,6,3,STR-OPLI-19-003182
31219741,Home in Seattle · ★4.69 · 3 bedrooms · 3 beds · 2 baths,210731176,Tricia And Isaac,Capitol Hill,Stevens,47.61967,-122.31015,Entire home/apt,155,30,36,2023-07-25,0.64,2,347,1,
31224895,Home in Seattle · ★4.32 · 4 bedrooms · 6 beds · 3.5 baths,5325329,Blair,Beacon Hill,Mid-Beacon Hill,47.55328,-122.31272,Entire home/apt,200,30,82,2023-03-31,1.44,9,0,1,STR-OPAP-19-000632
31243526,Rental unit in Seattle · ★4.77 · 2 bedrooms · 3 beds · 1 bath,162159097,Donald,Capitol Hill,Stevens,47.62046,-122.30229,Entire home/apt,153,2,127,2023-09-15,2.32,2,322,29,STR-OPLI-21-000168
31287568,Guest suite in Seattle · ★4.91 · 1 bedroom · 2 beds · 1 bath,234147890,Robert,Seward Park,Seward Park,47.55764,-122.26968,Entire home/apt,90,3,196,2023-09-14,3.49,1,93,38,STR-OPLI-19-000954
31294061,Rental unit in Seattle · ★4.98 · 1 bedroom · 1 bed · 3 shared baths,30559,Angielena,Other neighborhoods,Georgetown,47.54952,-122.31747,Private room,78,2,49,2023-08-27,0.87,9,359,16,STR-OPLI-19-003039
31321961,Guest suite in Seattle · ★4.94 · 1 bedroom · 1 bed · 1 shared bath,56004960,Andrew,Other neighborhoods,Wallingford,47.66644,-122.33544,Private room,62,30,31,2023-08-27,0.55,10,171,3,
31361577,Home in Seattle · ★4.86 · 1 bedroom · 1 bed · 1 bath,32701707,Elise,Lake City,Meadowbrook,47.70237,-122.2942,Entire home/apt,88,1,38,2023-09-10,0.73,1,344,32,STR-OPLI-22-001824
31391400,Home in Seattle · ★5.0 · 1 bedroom · 2 beds · 1 bath,3690557,Minh,Delridge,Roxhill,47.53525,-122.37167,Entire home/apt,69,30,20,2023-02-01,0.36,1,30,1,
31444663,Guest suite in Seattle · ★4.99 · Studio · 1 bed · 1 bath,235543653,Bernard,Beacon Hill,North Beacon Hill,47.58329,-122.315018,Entire home/apt,122,3,130,2023-08-29,2.38,1,217,33,STR-OPLI-22-000127
31462782,Guest suite in Seattle · ★4.99 · Studio · 1 bed · 1 bath,235362223,Lora,Queen Anne,North Queen Anne,47.64103,-122.359,Entire home/apt,155,3,174,2023-09-15,3.24,1,10,47,STR-OPLI-19-000328
31476418,Guest suite in Seattle · ★4.70 · 1 bedroom · 1 bed · 1 bath,21752052,SarahBeth,Magnolia,Lawton Park,47.65164,-122.40094,Entire home/apt,135,1,113,2023-09-04,1.99,1,95,19,STR-OPLI-21-000507
31489880,Townhouse in Seattle · ★4.81 · 3 bedrooms · 3 beds · 2.5 baths,3483619,Avtar,Other neighborhoods,Fremont,47.65285,-122.35285,Entire home/apt,225,30,16,2019-12-30,0.28,1,0,0,
31498217,Condo in Seattle · ★4.63 · 1 bedroom · 2 beds · 1 bath,28379912,Daniel James Rogers,Cascade,Eastlake,47.6435,-122.32467,Entire home/apt,67,30,8,2023-07-22,0.25,12,76,1,
31545482,Home in Seattle · ★4.93 · 2 bedrooms · 2 beds · 1 bath,236442276,Kelley,Other neighborhoods,Greenwood,47.69565,-122.34472,Entire home/apt,124,3,307,2023-09-15,5.55,1,128,76,STR-OPLI-19-000677
31562982,Rental unit in Seattle · ★4.96 · 1 bedroom · 2 beds · 1 bath,236572187,Karen,Queen Anne,East Queen Anne,47.629056359900346,-122.34479845866917,Entire home/apt,150,3,126,2023-09-04,2.25,3,32,18,STR-OPLI-19-001296
31593357,Guest suite in Seattle · ★4.93 · 1 bedroom · 1 bed · 1 bath,75632952,Nityia,Beacon Hill,Mid-Beacon Hill,47.55046,-122.31028,Entire home/apt,99,3,72,2023-09-07,1.27,1,66,31,STR-OPLI-19-000348
31623027,Rental unit in Seattle · ★4.71 · Studio · 1 bed · 1 bath,225034304,Julie,Rainier Valley,Columbia City,47.55636,-122.28696,Entire home/apt,119,1,161,2023-09-13,2.84,3,0,71,STR-OPLI-22-000075
31623201,Home in Seattle · ★4.97 · 2 bedrooms · 2 beds · 1 bath,15784748,Teresa,Other neighborhoods,Fremont,47.66132,-122.35001,Entire home/apt,179,2,113,2023-09-10,1.99,1,204,20,STR-OPLI-19-002224
31649637,Guest suite in Seattle · ★4.98 · Studio · 1 bed · 1 bath,237294625,Cara,Capitol Hill,Broadway,47.6213,-122.31402,Entire home/apt,127,1,383,2023-09-04,6.78,1,218,78,STR-OPLI-19-001948
31823878,Home in Seattle · ★4.95 · 3 bedrooms · 4 beds · 2 baths,2497642,Nav,Other neighborhoods,Roosevelt,47.67712,-122.31479,Entire home/apt,275,2,21,2023-07-23,0.41,1,0,3,STR-OPLI-19-000930
31861313,Home in Seattle · ★4.97 · 2 bedrooms · 3 beds · 2 baths,54521468,Rebecca,West Seattle,Genesee,47.5685,-122.37978,Entire home/apt,175,3,87,2023-08-28,1.54,2,314,18,STR-OPLI-19-000903
31861361,Rental unit in Seattle · ★4.97 · 1 bedroom · 1 bed · 1 bath,143060164,Robert,Ballard,Adams,47.66943,-122.38223,Entire home/apt,149,2,67,2023-07-23,1.28,5,18,7,STR-OPLI-20-000172
31908087,Cabin in Seattle · ★4.92 · 1 bedroom · 1 bed · 1 bath,25851366,Alasdair,Other neighborhoods,Wedgwood,47.69196,-122.30175,Entire home/apt,233,3,24,2023-08-14,0.44,2,19,5,STR-OPLI-19-000600
31985844,Guest suite in Seattle · ★4.91 · 2 bedrooms · 2 beds · 1 bath,3031025,Andy,Ballard,Sunset Hill,47.67348,-122.40336,Entire home/apt,120,4,98,2023-09-04,1.89,1,185,30,STR-OPLI-19-002916
32009047,Rental unit in Seattle · ★4.90 · 1 bedroom · 2 beds · 1 bath,328476,Naoko & Henry,Central Area,Minor,47.60531,-122.31587,Entire home/apt,79,30,122,2022-03-06,2.20,1,0,0,STR-OPLI-19-001944
